#Site Name,Site ID,South,West,Down
58 Level Station,59,16603.305,1658.635,2237.86
69L_80_x/c,69,16210.255,1731.535,2583.7
73_86ACCX/C,83,16794.691,1478.481,2723.633
75 Level 80 XC,111,16302.011,1359.959,2782.001
60L-80x/c,121,16151.698,2211.121,2305.284
60L_HLG,122,15954.423,2441.057,2307.168
66L_south hlg,123,16844.434,2180,2479.759
66L_wshop,124,16587.924,1979.654,2481.902
69_hlge_5th_69-90x/cut,127,16931.033,1897.402,2575.035
73_86,225,16661.465,1433.615,2723.781
Eland shaft geophone UG,250,4259,10497,1756
Excalibur,301,13451,7135,-473
Surfacesite_workshops,302,21343,-4149,-473
Central Plant,303,18648,-6586,-473
